oqmd_id,formula,Ef,num_atoms
3117,USiO4,-3.46016141600652,6.0
681881,BaUO3,-3.46008950953207,5.0
431499,AcGd2O4,-3.45945194800215,7.0
42536,Na3UF8,-3.45919919755032,12.0
691907,Ba4Th4O11,-3.45835439945454,19.0
431531,AcSc2O4,-3.45456150657357,7.0
432128,CaPu2O4,-3.45431444977166,7.0
433575,Y2NpO4,-3.45176803953679,7.0
22675,UTi2O6,-3.44771993281879,9.0
432642,EuNp2O4,-3.44640693214286,7.0
1282960,SrPu2O4,-3.4448819626288,7.0
1283073,Ac3BrO4,-3.44338885136636,8.0
682118,AcTiO3,-3.44279297478451,5.0
693103,PuZrO3,-3.44043870401591,5.0
5813,Li4UF8,-3.43963286234991,13.0
682941,PuTiO3,-3.43781152077317,5.0
433261,LuPu2O4,-3.43648369977166,7.0
1282825,Li2NpF6,-3.43509069094852,9.0
431936,BaPu2O4,-3.4307467326288,7.0
26380,Th2P2O9,-3.42817123140874,13.0
432596,ErPu2O4,-3.42323554048595,7.0
433789,Sm2PuO4,-3.4219274426369,7.0
6073,AcClO,-3.42047254966596,3.0
693160,SrNpO3,-3.41801899717575,5.0
433000,HoPu2O4,-3.41754672739071,7.0
692149,Pu4Hf4O11,-3.41609268970734,19.0
682162,AcHfO3,-3.41373061602725,5.0
434058,Y2ThO4,-3.4077436078225,7.0
433804,Yb2PuO4,-3.40572531906547,7.0
117726,UOF4,-3.40439695248788,6.0
1234115,PuO2,-3.39966002890027,3.0
20981,Na2UF8,-3.39795171270474,11.0
432806,GdPu2O4,-3.39753252798595,7.0
431533,AcSm2O4,-3.395769060145,7.0
693525,ThVO3,-3.39206837833267,5.0
36337,UTlF5,-3.39172001170079,7.0
682924,UAlO3,-3.39169994403207,5.0
431525,AcPu2O4,-3.39098738227166,7.0
359643,Ac2Sc2O5,-3.39089564604375,9.0
434088,Y2UO4,-3.38977928086273,7.0
682215,BaNpO3,-3.38921377267575,5.0
1540519,Ac2EuO4,-3.3881995790735737,7.0
679651,HfNpO3,-3.38737572017575,5.0
11765,Ba2U2O7,-3.38622777874541,11.0
431522,AcPm2O4,-3.37635656585929,7.0
682504,NpTiO3,-3.374011779933,5.0
693011,PuUO3,-3.37145753202073,5.0
431507,AcLa2O4,-3.37100369943072,7.0
433561,Sm2NpO4,-3.36863214310822,7.0
433178,LaPu2O4,-3.36781058977166,7.0
433703,PmPu2O4,-3.3673508851288,7.0
692140,Pu4Al4O11,-3.36681313654945,19.0
1273138,ThSO,-3.36632275704486,3.0
682378,AcZrO3,-3.36537122002725,5.0
682601,MgUO3,-3.36312808686541,5.0
678223,Th2O3,-3.36115320502425,5.0
432120,CaNp2O4,-3.36053078857143,7.0
693232,ThBeO3,-3.35945274777575,5.0
693491,ThTiO3,-3.354907832533,5.0
69642,Th2Ta6O19,-3.35422819811782,27.0
433550,Pm2NpO4,-3.3499787738225,7.0
5464,U3O8,-3.34901594132748,11.0
6590,Ca3UO6,-3.34826216227966,10.0
432665,EuTh2O4,-3.34788051157143,7.0
693093,CaPuO3,-3.34345775651591,5.0
6053,Pu2SO2,-3.3425388051315,5.0
681583,EuPaO3,-3.34086024152725,5.0
4232,CaUO4,-3.3393374210065176,6.0
1272711,Ac2SO2,-3.33841428015417,5.0
433486,NdPu2O4,-3.33820524405738,7.0
431515,AcNd2O4,-3.33694108300215,7.0
1282958,SrNp2O4,-3.33506806071429,7.0
433793,Tb2PuO4,-3.3331362311131,7.0
433730,PrPu2O4,-3.33226852441452,7.0
681376,SrPuO3,-3.32957869051591,5.0
692406,Ac2Lu2O5,-3.32375904271042,9.0
1441913,U2O3,-3.32372922653689,5.0
431928,BaNp2O4,-3.32355046071429,7.0
432251,CePu2O4,-3.32338232298595,7.0
99474,BaUTiO6,-3.32146033212032,9.0
1540486,BaAc2O4,-3.3206758297878594,7.0
1540694,SrAc2O4,-3.320502937645002,7.0
433253,LuNp2O4,-3.31923897642857,7.0
692202,Sr4U4O11,-3.3160379013033,19.0
4233,SrUO4,-3.31523521892319,6.0
13127,La3U(ClO2)3,-3.31399317074262,13.0
1601100,Eu2Pu4O7,-3.3131996677634246,13.0
433170,LaNp2O4,-3.31317136285714,7.0
681602,ZrNpO3,-3.31143565217575,5.0
2451,BaUO4,-3.31130423142318,6.0
433276,LuTh2O4,-3.31022485157143,7.0
4234,Ca2UO5,-3.30832161242723,8.0
693516,YbPaO3,-3.30758632852725,5.0
432588,ErNp2O4,-3.30449890571429,7.0
432992,HoNp2O4,-3.30407007333333,7.0
432533,DyNp2O4,-3.30154127095238,7.0
4235,Sr2UO5,-3.30147848367723,8.0
431523,AcPr2O4,-3.30139940871643,7.0
433639,Yb2PaO4,-3.30055041550215,7.0
11893,BaPuO3,-3.30038476151591,5.0
433925,Th2ScO4,-3.299407663,7.0
27070,BaTh(PO4)2,-3.2990253009327,12.0
691892,Ac4Ti4O11,-3.29864900999007,19.0
432669,EuU2O4,-3.29861818979474,7.0
11663,Sr2CaUO6,-3.29653678277966,10.0
431517,AcNp2O4,-3.2947586575,7.0
